team,games,wins,losses,super_elo,mov_elo,off_efg_elo,off_tov_elo,off_orb_elo,off_ftr_elo,def_efg_elo,def_tov_elo,def_orb_elo,def_ftr_elo,rank
Michigan,37,27,10,1825.626503747029,1825.626503747028,1667.9456834273085,1468.2006110308503,1645.803278116281,1586.7357006348113,1734.1929525596327,1509.5440591687207,1512.616006832662,1634.4604951047297,18
Kansas,34,21,13,1825.495098422208,1825.495098422207,1661.3121344601866,1565.7860316168549,1583.6825916164519,1390.3782589269672,1720.7371312854534,1475.1489745629717,1665.3745047869986,1611.747117041205,19
UCLA,34,23,11,1818.572678652236,1818.572678652235,1621.314192478743,1587.7949277246516,1628.6859034876518,1528.6928709742886,1600.612105949457,1814.7487498900373,1526.6061046044126,1529.141233740807,20
Missouri,34,22,12,1814.0844125952133,1814.0844125952124,1699.046417580789,1611.160446373456,1624.3098056329338,1749.7089027151815,1559.1587948830947,1664.007736900369,1480.012890132061,1491.8967372439974,21
Texas A&M,34,23,11,1812.3318679262395,1812.3318679262386,1504.9340739823792,1517.0121815727277,1856.765988094738,1663.7894656805436,1675.8975161283913,1672.7698302540734,1610.1006216977885,1517.2752600083943,22
BYU,36,26,10,1810.5993276460977,1810.5993276460968,1758.7816694612716,1534.9194257408535,1651.1415286836982,1474.6306474031553,1539.9286405772198,1529.3994029713335,1658.4100684436426,1566.188156375542,23
Baylor,34,19,15,1806.7854406320716,1806.7854406320707,1615.7000903141604,1647.905381591531,1739.0127885223858,1475.9540012935358,1541.577894050039,1608.6976313603518,1591.1646165166403,1489.5353815310523,24
Mississippi,36,24,12,1800.5769560839667,1800.5769560839658,1612.5978406802035,1759.932932096207,1438.8186402436727,1564.5744507070299,1603.6112690587204,1687.6464614521324,1556.7762042257104,1453.3864512668702,25
Louisville,35,27,8,1796.5807913855376,1796.5807913855367,1624.7301593294972,1555.9901442859057,1591.9857100309482,1553.5978664973284,1599.1405782658392,1605.9136110743023,1608.037312118202,1621.7660263117748,26
Marquette,34,23,11,1794.5367655705163,1794.5367655705154,1604.1657760586281,1686.0621780298177,1564.9116445089142,1412.007563361317,1602.0041558513103,1717.4008943325719,1511.5834001723144,1562.8366361424464,27
Connecticut,35,24,11,1789.9653863984129,1789.965386398412,1679.533979746637,1523.721406345284,1701.247515823043,1492.692042101443,1666.2231767764265,1438.9959818467146,1582.0388050010624,1355.3951538351437,28
Oregon,35,25,10,1789.68867923766,1789.688679237659,1631.8395385306583,1584.705765582031,1570.328415275269,1541.3498092116504,1656.045717076828,1560.4039114918733,1571.3404754927958,1640.4202476530475,29
Clemson,34,27,7,1789.1038384457295,1789.1038384457286,1623.1126015232971,1566.9257695636302,1649.6201538177515,1446.1126019354708,1614.4573790433155,1644.1523727112606,1533.150739229217,1641.147565608401,30
Ohio St.,32,17,15,1784.2249021548407,1784.2249021548398,1651.6193824176592,1614.9089008957235,1528.6417966375454,1591.3434159525566,1660.8598398520496,1558.9165627247066,1496.9130705843947,1423.7723554326126,31
Saint Mary's,34,28,6,1783.861153556344,1783.8611535563432,1513.6050568760834,1596.7637572415044,1793.1570362491877,1482.021515954281,1705.332419107955,1466.670951195574,1652.3550116678325,1640.5352827751824,32
Mississippi St.,34,21,13,1780.8437876667397,1780.8437876667388,1607.4157645091516,1633.9416614646,1649.6866042195488,1495.297210782584,1563.9768862166572,1639.3807976220971,1566.5627649288651,1541.353820318255,33
North Carolina,37,23,14,1779.4060780306118,1779.4060780306108,1681.6936509058023,1621.1117014630934,1548.9894173602745,1575.9404489660665,1608.9649195036368,1460.7786177306027,1634.279302873863,1572.5371545778964,34
Arkansas,36,22,14,1773.1988053695393,1773.1988053695384,1613.016551546919,1582.115013866009,1479.6973451848398,1573.4617410105793,1668.0051566445495,1552.1805091789893,1584.5945072015782,1610.911399664512,35
Georgia,33,20,13,1763.4371564732933,1763.4371564732924,1611.207180307989,1470.821388041034,1699.3270909691703,1642.5025568016042,1664.5329713667973,1572.966699838363,1508.1002126050219,1604.051970982325,36
Creighton,36,25,11,1761.4551231922453,1761.4551231922444,1746.2940391225857,1499.5315105906234,1451.9354146281773,1438.2254943006199,1678.9385538475806,1261.4792868538984,1641.6785088254614,1773.0600528569935,37
Texas,35,19,16,1750.2611552357334,1750.2611552357325,1615.30646534665,1673.0624817555777,1534.501818478703,1574.4193100698972,1614.1541924776154,1498.076335640023,1570.6443302977614,1455.0815936858094,38
