Rk,Team,Conf,Adj. Eff._Off.,Adj. Eff._Def.,Eff. FG%_Off.,Eff. FG%_Def.,Turnover%_Off.,Turnover%_Def.,Off. Reb%_Off.,Off. Reb%_Def.,FT Rate_Off.,FT Rate_Def.,FT%_Off.,FT%_Def.,2P%_Off.,2P%_Def.,3P%_Off.,3P%_Def.
169,American,Pat,103.8,108.9,51.2,53.1,17.1,20.6,24.4,29.5,32.8,52.6,74.6,71.1,51.8,53.2,33.7,35.3
170,West Virginia,B12,110.3,96.2,51.2,44.9,14.3,22.1,28.8,20.8,43.0,29.8,67.6,72.8,52.0,39.8,33.3,35.7
171,IU Indy,Horz,100.9,118.8,51.2,58.8,16.5,20.4,27.6,39.6,21.3,44.4,69.1,72.9,54.0,61.1,31.9,36.3
172,Holy Cross,Pat,102.3,113.6,51.2,55.7,18.4,14.5,20.7,25.7,28.9,26.6,69.5,76.1,53.4,62.2,32.2,31.4
173,Stephen F. Austin,Slnd,106.2,103.8,51.2,45.3,15.0,17.3,32.9,29.2,24.2,42.0,64.5,75.6,49.4,45.1,35.9,30.6
174,Oral Roberts,Sum,101.9,115.1,51.1,57.2,20.5,16.1,24.9,35.4,35.6,41.7,73.9,71.7,50.4,56.4,34.5,39.2
175,Nebraska Omaha,Sum,107.2,112.6,51.1,55.2,18.0,15.2,27.0,30.5,35.5,35.7,70.9,75.8,50.8,57.2,34.3,35.4
176,Michigan St.,B10,118.1,92.2,51.1,44.6,16.4,18.5,40.3,24.2,33.9,32.7,72.8,70.6,51.4,46.0,33.7,28.6
177,New Mexico,MWC,107.7,101.4,51.1,50.7,16.1,21.3,27.8,26.2,37.4,32.9,72.2,72.7,53.2,53.4,32.3,32.2
178,UNLV,MWC,113.0,107.7,51.1,52.9,15.9,18.2,33.4,32.2,45.1,51.5,69.3,74.4,56.2,55.0,28.4,33.3
179,Sacred Heart,MAAC,107.2,115.2,51.1,60.6,19.3,17.9,30.3,34.2,32.9,34.2,79.6,70.1,47.2,62.2,36.4,39.2
180,Tarleton St.,WAC,105.3,109.6,51.0,57.3,21.3,21.9,33.9,36.2,43.1,47.0,76.2,70.5,50.2,58.8,35.5,37.1
181,Mount St. Mary's,MAAC,101.0,110.8,51.0,51.3,23.4,13.5,26.8,29.9,30.3,41.5,62.5,74.2,51.7,51.0,33.5,34.5
182,Cleveland St.,Horz,103.0,116.4,50.9,56.9,21.2,15.8,31.2,38.9,44.4,35.2,72.8,75.6,46.3,59.8,37.1,35.4
183,Cal Poly,BW,104.4,108.7,50.9,54.5,23.2,17.4,30.0,27.6,37.3,40.0,71.0,71.1,46.1,56.7,37.3,34.4
184,Seton Hall,BE,110.5,98.6,50.9,45.9,15.0,23.9,33.6,30.4,37.1,41.9,76.5,68.8,50.7,43.4,34.1,32.9
185,South Florida,Amer,115.0,102.2,50.9,51.3,15.8,21.8,36.8,31.9,46.0,44.4,74.6,68.0,53.8,49.6,31.5,36.1
186,Siena,MAAC,107.3,104.4,50.9,49.3,18.0,21.1,34.9,27.3,38.3,27.3,71.2,67.6,54.4,51.4,28.1,30.0
187,Troy,SB,107.3,105.4,50.8,51.0,18.9,17.8,32.5,32.8,41.4,36.4,72.8,69.2,53.7,49.6,31.4,35.7
188,Loyola MD,Pat,101.8,116.0,50.8,54.5,18.7,17.5,26.4,35.2,33.9,35.7,65.8,71.6,57.8,56.8,28.2,33.3
189,Stanford,ACC,111.6,102.6,50.8,52.8,14.2,22.3,33.6,23.2,37.9,36.7,73.7,78.3,49.7,51.6,34.9,36.7
190,Xavier,BE,111.5,101.7,50.7,50.9,12.6,18.2,27.3,26.0,33.6,32.0,68.1,67.2,47.1,53.0,36.7,31.1
191,Georgia Southern,SB,106.0,110.5,50.7,51.6,15.8,19.8,27.4,35.8,39.8,40.9,67.9,68.0,52.5,55.5,32.5,30.4
192,Wagner,NEC,101.2,109.9,50.7,50.1,21.5,14.3,31.9,36.8,29.3,50.0,68.9,71.3,46.2,49.1,39.1,34.6
193,Tennessee Tech,OVC,101.4,111.3,50.7,53.8,19.7,16.5,25.4,30.2,31.1,36.0,70.7,73.2,52.8,51.2,31.3,38.5
194,Southern Miss,SB,106.8,112.2,50.7,55.6,17.7,18.9,38.5,29.8,39.2,39.1,72.2,72.1,54.3,53.6,27.4,38.4
195,Alcorn St.,SWAC,99.9,114.3,50.6,58.2,24.8,17.5,28.4,42.0,25.1,42.5,61.5,73.5,47.7,60.1,37.3,36.7
196,Lipscomb,ASun,102.9,106.2,50.6,53.6,18.7,19.4,28.2,28.3,26.0,35.2,75.8,70.7,49.2,55.1,34.6,34.2
197,Georgetown,BE,113.7,105.3,50.5,49.0,12.2,18.3,30.9,28.7,42.4,41.7,74.8,78.3,52.9,46.1,30.9,35.8
198,Pittsburgh,ACC,111.0,103.4,50.5,47.8,18.2,16.7,36.2,29.7,33.1,31.6,68.2,77.6,50.8,46.8,33.3,33.0
199,Grambling St.,SWAC,101.4,111.0,50.4,54.1,21.9,20.3,26.7,36.6,46.6,46.4,70.9,75.4,51.5,54.3,32.3,35.9
200,Penn,Ivy,106.6,113.5,50.4,50.6,17.1,16.1,31.0,34.5,39.7,26.2,73.2,72.3,45.3,53.8,40.3,30.4
,,,,,,,,,,,,,,,,,,
Rk,Team,Conf,,,,,,,,,,,,,,,,
201,Charleston Southern,BSth,101.2,109.5,50.4,47.3,18.4,11.4,30.2,30.1,26.3,38.2,65.7,69.7,49.2,49.3,34.4,29.2
202,Washington,B10,116.0,103.0,50.4,48.1,16.2,15.7,39.0,28.9,39.4,36.3,74.9,69.3,49.1,46.7,35.3,33.7
203,Florida St.,ACC,109.2,101.5,50.4,49.9,15.0,25.0,32.0,36.2,31.9,40.0,68.3,70.8,53.8,49.8,31.5,33.3
204,Cincinnati,B12,105.2,94.5,50.4,45.4,19.2,21.5,29.9,23.1,39.8,32.8,62.4,70.9,52.5,45.2,32.1,30.5
205,Marist,MAAC,99.4,100.1,50.3,40.3,20.3,21.5,28.1,28.3,25.5,43.9,75.9,69.3,52.3,44.6,31.2,23.0
206,Quinnipiac,MAAC,105.7,106.1,50.2,50.4,17.8,17.0,32.6,36.2,30.5,31.1,72.5,66.9,47.6,51.0,36.8,32.8
207,Austin Peay,ASun,103.4,105.4,50.2,51.1,17.6,19.4,29.2,28.7,30.8,39.3,65.4,63.1,50.6,52.7,33.1,32.8
208,Northern Illinois,MAC,103.9,115.8,50.1,57.7,22.8,17.6,34.4,36.7,38.7,40.2,64.9,72.3,48.7,59.8,34.8,36.4
209,Loyola Chicago,A10,104.5,114.7,50.1,52.2,18.7,13.1,30.1,33.3,39.7,31.7,69.5,79.3,50.2,48.2,33.3,38.2
210,East Texas A&M,Slnd,98.8,109.6,50.0,54.3,20.6,20.4,23.3,34.2,29.5,42.3,69.7,68.3,50.8,53.8,32.7,36.7
211,North Carolina A&T,CAA,98.7,112.2,50.0,51.0,21.0,16.8,28.1,25.6,56.2,44.0,69.9,64.0,51.9,50.0,30.7,35.2
212,Houston,B12,118.7,90.7,50.0,42.5,14.3,20.4,38.5,30.3,22.5,40.8,76.5,65.3,50.8,45.6,32.5,24.8
213,UNC Greensboro,SC,103.9,112.0,50.0,56.0,17.7,13.9,24.9,31.4,47.5,29.5,69.1,70.6,50.6,53.8,32.8,39.1
214,FIU,CUSA,106.8,107.8,49.9,50.3,15.5,20.7,31.1,40.1,37.7,33.2,68.8,77.2,46.6,50.7,36.4,33.1
215,Utah Tech,WAC,102.1,110.0,49.9,51.5,18.4,18.4,28.3,34.5,28.7,33.0,70.5,75.1,54.7,56.0,28.7,28.7
216,Manhattan,MAAC,108.0,116.7,49.9,55.5,17.0,16.3,27.4,40.3,43.1,26.1,76.0,76.6,47.1,52.8,36.4,40.1
217,Northeastern,CAA,101.7,107.8,49.7,54.0,19.7,20.9,28.7,28.3,35.8,38.0,69.3,76.6,52.0,56.4,30.2,33.1
218,San Diego,WCC,106.8,113.5,49.6,53.0,18.4,20.5,31.3,42.1,27.5,41.2,78.8,67.9,52.4,53.5,30.8,34.7
219,Stony Brook,CAA,105.9,112.5,49.6,51.3,15.6,18.2,27.8,33.8,30.7,43.7,72.8,72.7,49.3,48.8,33.3,37.3
220,Central Michigan,MAC,102.1,113.2,49.5,52.2,18.9,14.4,34.3,32.8,25.4,43.7,72.6,64.2,50.5,52.9,31.7,34.2
221,Southeast Missouri St.,OVC,104.4,108.8,49.5,58.1,17.5,20.2,28.4,27.5,29.7,51.5,69.8,75.7,53.7,59.6,27.9,37.2
222,North Texas,Amer,104.2,102.9,49.4,45.7,19.1,19.3,33.1,32.2,43.2,50.8,71.5,71.2,47.7,45.6,35.1,30.5
223,South Dakota St.,Sum,105.7,104.4,49.4,49.5,18.7,18.3,29.4,22.3,36.9,40.6,71.3,70.6,52.8,53.2,29.8,30.6
224,Old Dominion,SB,107.5,111.0,49.4,52.0,16.8,13.7,27.0,33.7,32.0,41.9,73.4,73.2,48.6,54.4,33.6,32.0
225,Wichita St.,Amer,110.1,104.4,49.4,46.0,14.1,17.1,40.4,30.0,37.1,34.7,71.4,73.4,48.6,45.4,33.9,31.5
226,Grand Canyon,MWC,106.8,99.1,49.3,49.0,19.0,20.5,33.2,23.0,41.1,35.3,76.3,72.4,52.8,47.8,28.8,33.7
227,Cal St. Fullerton,BW,100.1,113.3,49.3,55.9,14.4,16.5,24.8,23.4,35.6,43.9,70.5,79.0,52.4,56.4,29.6,36.8
228,Florida,SEC,118.4,94.4,49.3,43.3,18.8,15.3,42.1,24.4,39.7,40.2,72.1,75.3,56.0,45.5,27.3,26.0
229,Milwaukee,Horz,107.5,111.4,49.3,56.4,15.7,16.9,32.4,35.4,33.9,39.1,62.7,75.9,48.5,52.3,33.7,42.1
230,Lehigh,Pat,100.9,112.4,49.2,51.2,18.5,18.6,23.5,37.9,33.9,39.3,68.3,72.9,48.9,52.0,33.0,32.7
231,Western Kentucky,CUSA,108.9,106.1,49.2,50.7,14.9,19.2,31.1,29.2,45.1,41.4,72.8,69.7,50.6,48.5,30.7,35.5
232,USC Upstate,BSth,100.9,110.5,49.1,46.5,18.2,16.2,27.6,33.3,39.4,37.2,68.1,75.2,50.9,45.7,30.9,32.1
233,Marquette,BE,110.6,102.3,49.1,50.9,15.3,20.7,33.3,29.2,38.8,32.5,71.9,74.6,50.5,49.6,31.3,35.3
234,Alabama St.,SWAC,105.0,112.9,49.1,55.4,17.9,18.1,29.9,34.8,33.9,39.4,73.8,72.5,46.4,55.2,35.6,37.1
235,Ohio,MAC,108.5,110.7,49.0,54.3,16.5,16.8,30.4,34.8,35.8,31.0,67.7,73.3,52.3,53.2,28.8,37.4
236,Memphis,Amer,111.7,99.6,49.0,47.9,18.5,17.6,37.5,36.2,36.1,40.2,70.2,68.9,49.2,48.0,32.4,31.8
237,Central Arkansas,ASun,100.3,108.6,48.9,51.6,18.5,17.8,26.8,26.2,27.6,30.3,62.7,73.6,51.5,54.5,31.0,32.3
238,Southern,SWAC,104.6,106.2,48.9,54.0,18.1,16.1,30.2,34.4,34.8,43.9,63.2,76.2,45.4,51.0,37.3,39.3
239,Princeton,Ivy,100.2,107.2,48.9,54.2,19.1,15.6,24.2,23.8,33.8,41.0,67.0,72.5,49.3,59.7,32.4,31.1
240,Green Bay,Horz,105.3,113.9,48.9,55.1,15.0,12.2,22.8,29.1,45.2,43.6,72.0,69.4,51.9,56.9,30.1,35.1
241,Fordham,A10,106.1,109.4,48.9,49.0,15.8,15.6,34.0,28.9,26.0,25.4,67.0,68.3,53.2,46.3,27.6,35.3
242,Maine,AE,92.6,109.1,48.8,50.2,23.0,19.1,23.8,38.1,35.6,37.9,60.3,67.8,50.0,54.1,31.2,28.6
243,Eastern Michigan,MAC,102.9,107.9,48.8,50.4,18.5,18.1,31.1,29.2,29.4,27.6,75.8,73.2,47.5,48.9,34.6,35.1
244,UT Arlington,WAC,102.7,106.2,48.7,47.4,23.0,19.3,37.1,30.9,38.4,43.5,68.9,72.0,51.7,52.3,28.0,24.6
245,Appalachian St.,SB,100.9,109.4,48.5,50.2,14.8,16.0,29.7,36.2,36.8,39.1,59.0,79.2,52.3,51.2,29.2,32.7
246,Northwestern St.,Slnd,104.1,115.1,48.5,59.3,20.2,16.8,24.8,42.1,41.7,45.3,72.5,70.2,46.0,57.6,35.0,41.3
247,Boise St.,MWC,112.8,98.1,48.5,50.0,17.5,17.1,34.5,23.5,43.9,34.0,75.1,65.4,46.9,50.4,34.0,32.8
248,Incarnate Word,Slnd,110.4,112.7,48.4,56.5,15.3,14.8,31.8,32.1,38.9,51.1,69.6,78.8,49.1,60.6,31.4,33.3
249,Northern Arizona,BSky,104.3,111.5,48.4,52.1,16.5,16.5,26.5,31.2,31.5,30.8,61.5,72.9,46.1,54.3,35.4,32.8
250,Central Connecticut,NEC,99.5,108.0,48.4,49.1,16.0,14.8,27.4,31.9,32.3,23.7,70.2,75.0,46.0,47.0,35.6,34.8
,,,,,,,,,,,,,,,,,,
Rk,Team,Conf,,,,,,,,,,,,,,,,
251,Little Rock,OVC,101.6,111.4,48.4,60.5,26.4,19.2,33.2,34.6,24.2,34.5,57.0,67.7,46.6,60.1,35.5,40.7
252,San Jose St.,MWC,106.0,108.6,48.3,54.0,18.8,18.4,35.9,35.4,33.3,27.8,70.6,69.5,47.3,55.1,33.3,35.1
253,Army,Pat,99.6,116.3,48.3,55.0,17.9,14.6,26.3,30.1,26.0,39.6,74.3,77.4,50.8,59.6,30.9,33.2
254,Brown,Ivy,97.7,103.3,48.2,47.4,20.0,19.1,30.6,30.6,27.8,29.1,68.4,74.7,46.9,49.9,33.5,29.1
255,Eastern Kentucky,ASun,106.8,113.3,48.2,56.6,18.4,14.0,31.1,32.8,30.2,39.4,69.1,73.3,50.0,57.9,30.9,36.5
256,Navy,Pat,104.3,107.6,48.2,50.5,18.2,18.4,29.4,29.7,40.9,34.0,75.0,73.4,48.2,50.6,32.1,33.5
257,Jacksonville,ASun,100.3,110.8,48.2,56.7,20.3,17.2,31.3,28.9,28.3,46.2,64.9,70.4,49.2,56.3,31.2,38.3
258,Towson,CAA,106.6,105.3,48.1,51.2,16.7,14.9,37.6,24.3,29.7,27.9,68.1,66.7,51.0,55.8,28.5,30.2
259,Oregon,B10,113.9,101.5,48.1,51.5,19.2,17.2,38.0,30.6,42.8,30.8,70.1,77.6,48.3,53.3,31.9,32.4
260,Illinois Chicago,MVC,104.1,108.1,48.0,49.2,21.1,20.5,39.8,38.3,49.5,34.2,75.6,71.2,52.0,53.6,27.4,29.6
261,Nevada,MWC,110.6,104.3,48.0,51.7,13.8,17.4,34.0,27.4,46.9,39.3,73.2,70.4,45.9,50.8,35.2,35.3
262,Louisiana Monroe,SB,95.9,115.2,48.0,54.1,18.5,16.3,23.1,36.1,32.9,25.9,68.2,70.9,48.7,54.3,31.4,35.8
263,New Mexico St.,CUSA,109.6,105.4,48.0,44.7,17.2,16.7,38.4,25.7,37.3,43.8,74.8,77.3,49.8,47.0,30.3,27.7
264,Rice,Amer,106.8,108.8,47.9,50.6,19.3,17.5,33.3,34.2,39.4,39.9,68.3,72.3,43.2,50.7,36.6,33.5
265,Missouri St.,CUSA,104.0,109.6,47.9,54.2,17.3,19.1,27.6,40.6,49.8,39.1,65.4,70.8,52.6,55.2,27.8,34.9
266,Texas Southern,SWAC,103.6,110.6,47.9,60.2,20.4,15.3,23.9,35.8,43.2,51.1,62.8,73.1,45.5,66.7,35.9,35.0
267,Monmouth,CAA,106.2,108.6,47.9,50.3,16.6,18.5,31.1,31.8,40.7,35.8,74.8,71.1,46.6,48.8,33.7,35.2
268,UAB,Amer,108.9,103.5,47.8,48.6,14.3,16.8,37.9,24.3,38.0,32.8,70.6,74.9,52.3,51.1,25.7,29.8
269,Texas St.,SB,102.1,105.3,47.8,49.9,21.5,19.2,36.0,28.6,33.0,39.3,72.9,70.8,47.9,47.4,31.6,36.2
270,The Citadel,SC,99.6,121.6,47.8,58.8,16.4,12.0,28.0,33.3,32.1,33.3,64.0,63.7,50.9,58.6,29.1,39.3
271,Nicholls St.,Slnd,100.6,108.8,47.8,55.8,16.5,19.2,25.3,33.7,37.1,42.9,64.0,76.2,46.4,55.5,33.2,37.5
272,Georgia Tech,ACC,102.6,99.3,47.7,44.7,18.2,17.4,31.7,27.9,33.8,32.1,64.1,69.8,48.7,47.6,30.5,27.1
273,Long Beach St.,BW,101.1,112.7,47.7,55.9,18.0,19.0,30.4,29.8,28.7,46.4,67.4,78.9,48.7,57.8,30.8,35.2
274,Charleston,CAA,108.3,111.1,47.6,54.2,14.3,14.1,32.5,30.0,42.0,30.8,73.3,60.8,50.7,51.8,28.9,38.4
275,Cal Baptist,WAC,106.0,102.2,47.6,47.7,17.5,17.9,38.6,23.0,33.9,37.0,70.6,73.9,48.3,50.5,30.8,28.2
276,Indiana St.,MVC,102.0,107.7,47.5,47.1,19.0,18.4,25.5,38.0,26.2,24.8,77.1,64.9,54.9,49.1,26.4,28.1
277,Bethune Cookman,SWAC,106.9,110.8,47.5,52.8,14.7,14.7,28.9,36.4,28.3,41.3,67.1,70.4,45.9,54.8,34.0,33.0
278,Lafayette,Pat,99.7,111.6,47.5,52.7,18.1,14.9,27.2,35.3,35.7,32.1,71.4,72.2,43.2,55.2,36.6,32.3
279,Bucknell,Pat,100.9,112.6,47.5,57.9,19.9,17.6,28.7,30.9,33.1,38.3,73.3,69.3,46.0,54.8,33.0,41.1
280,Arkansas St.,SB,106.5,106.7,47.5,51.1,21.7,15.9,35.4,31.6,40.9,42.8,80.4,66.7,51.6,54.5,28.1,30.3
281,Rutgers,B10,106.8,106.0,47.5,50.9,17.2,16.9,34.0,33.0,39.7,25.2,69.9,71.7,45.5,47.6,34.4,37.4
282,New Orleans,Slnd,105.3,110.1,47.4,49.6,20.9,14.1,32.3,34.2,35.7,41.8,72.4,71.2,45.5,53.4,33.5,29.6
283,Niagara,MAAC,96.1,113.3,47.4,54.3,18.4,16.7,19.8,31.1,33.3,40.9,68.8,75.3,48.8,52.3,30.3,38.0
284,SIU Edwardsville,OVC,101.3,107.9,47.3,47.0,15.6,16.3,31.8,32.9,30.8,33.9,64.4,77.5,47.9,46.2,30.7,32.0
285,Stetson,ASun,97.0,115.3,47.3,56.5,19.4,17.5,24.2,32.8,30.6,27.7,64.3,71.3,47.5,58.0,31.4,36.3
286,Stonehill,NEC,96.3,111.8,47.3,50.9,20.9,12.0,27.4,27.3,17.7,36.5,66.7,64.4,45.2,52.7,33.6,31.9
287,Maryland,B10,108.6,103.3,47.2,53.9,19.1,20.2,33.6,31.2,52.3,29.8,75.4,72.4,47.9,53.2,30.9,36.5
288,La Salle,A10,102.7,108.3,47.2,51.7,20.4,17.8,37.8,32.9,34.8,23.8,72.2,67.2,47.0,52.1,31.9,34.1
289,Boston College,ACC,103.4,100.7,47.0,44.5,15.5,14.6,30.9,26.7,33.4,33.4,68.5,67.8,49.7,47.0,29.2,26.8
290,South Dakota,Sum,104.7,112.5,47.0,51.8,19.1,18.9,38.1,33.7,45.0,36.2,70.2,77.5,48.8,54.8,28.7,29.4
291,UMass Lowell,AE,100.7,113.9,47.0,54.5,22.0,16.1,29.2,37.8,45.4,29.2,65.2,74.2,48.8,53.1,28.8,38.0
292,Wofford,SC,103.0,110.1,46.9,52.1,15.2,14.6,30.3,31.1,41.2,30.2,72.9,75.4,47.9,51.2,30.4,35.8
293,Drexel,CAA,101.0,108.9,46.9,49.7,17.8,14.7,36.9,28.2,30.5,41.9,63.7,73.0,45.1,49.4,33.3,33.5
294,Hampton,CAA,104.5,109.5,46.9,51.5,18.5,18.1,34.9,34.3,42.2,42.4,71.3,66.1,47.9,53.5,30.1,32.1
295,Presbyterian,BSth,100.8,108.6,46.8,49.0,21.0,16.0,36.7,32.2,36.1,37.9,65.3,69.4,49.1,49.1,28.0,32.5
296,Mercyhurst,NEC,99.2,112.3,46.8,49.6,17.0,19.7,28.6,34.4,25.2,51.5,64.3,76.0,48.7,48.2,28.7,34.6
297,Coastal Carolina,SB,101.1,106.2,46.8,44.9,14.8,13.3,23.7,25.2,31.1,46.0,71.7,69.2,43.2,43.9,34.3,31.0
298,Howard,MEAC,98.4,113.0,46.7,56.9,18.8,22.1,29.6,30.9,38.3,38.9,71.7,68.7,45.2,56.8,32.9,38.0
299,Cal St. Northridge,BW,103.0,109.0,46.7,51.2,20.8,15.1,34.2,28.3,35.3,34.1,66.5,78.1,50.0,55.2,27.1,31.5
300,Evansville,MVC,100.8,108.2,46.7,54.4,18.9,18.9,27.4,34.0,40.2,36.3,70.5,75.8,50.8,53.5,27.2,37.1
,,,,,,,,,,,,,,,,,,
Rk,Team,Conf,,,,,,,,,,,,,,,,
301,North Dakota St.,Sum,104.4,104.9,46.7,50.1,14.5,21.1,32.5,29.9,30.7,32.0,75.7,71.5,49.8,51.8,28.6,31.5
302,Fairfield,MAAC,101.6,111.6,46.7,51.5,15.0,15.6,34.0,27.0,27.4,33.3,72.8,72.9,46.4,51.6,31.5,34.2
303,Canisius,MAAC,96.5,115.1,46.6,52.8,21.4,13.9,29.8,31.9,38.3,37.4,66.4,75.6,44.2,60.4,33.8,29.9
304,Fairleigh Dickinson,NEC,97.8,118.7,46.5,60.9,20.0,15.8,31.8,31.0,29.6,39.0,64.8,67.7,45.5,58.8,31.6,42.2
305,Samford,SC,104.0,112.4,46.5,53.7,14.0,14.9,26.8,28.6,38.9,31.5,66.1,74.0,46.7,51.0,30.9,39.4
306,North Alabama,ASun,106.1,108.6,46.5,51.1,17.3,14.3,34.2,34.6,33.3,32.2,70.1,67.9,46.1,53.0,31.5,32.5
307,West Georgia,ASun,99.5,112.7,46.4,52.4,16.4,16.3,29.1,32.4,26.8,34.5,66.4,71.9,43.7,55.7,35.0,31.1
308,Lamar,Slnd,102.6,104.5,46.4,50.2,16.1,20.8,35.0,30.6,23.8,46.0,64.5,64.8,46.1,51.5,31.5,32.0
309,Southern Utah,WAC,98.8,112.9,46.4,59.0,19.9,15.6,25.7,32.5,25.1,24.9,72.1,73.2,51.5,57.7,25.1,41.0
310,Gardner Webb,BSth,95.8,117.2,46.3,60.5,21.2,14.4,26.1,33.3,32.7,33.6,70.0,70.9,44.3,62.4,32.8,38.7
311,Longwood,BSth,103.9,112.0,46.2,56.2,18.9,21.2,32.3,30.5,51.9,37.5,76.5,69.9,48.3,58.2,28.0,36.0
312,Abilene Christian,WAC,102.7,104.8,46.1,52.9,21.3,20.4,37.2,27.9,35.7,59.4,69.1,68.9,43.9,49.8,33.6,39.1
313,Campbell,CAA,105.4,110.1,46.1,54.3,20.9,15.1,32.4,31.5,50.1,37.6,70.2,78.4,49.2,54.0,27.0,36.6
314,NJIT,AE,95.5,111.2,46.0,50.5,21.5,14.9,24.8,36.9,32.2,35.3,69.4,67.7,42.5,50.9,33.2,33.3
315,Louisiana Tech,CUSA,101.4,104.5,46.0,46.9,17.3,17.0,34.8,28.2,27.7,31.1,59.4,71.7,50.8,51.9,23.4,27.5
316,Western Illinois,OVC,98.5,118.4,45.9,56.9,18.3,13.6,27.3,33.2,36.9,35.3,65.7,76.2,44.7,55.2,32.5,39.4
317,Florida A&M,SWAC,99.3,113.1,45.8,55.6,23.6,17.4,25.3,40.0,33.9,43.3,64.4,78.3,43.3,56.7,33.7,36.0
318,Morgan St.,MEAC,97.8,118.2,45.7,55.9,15.9,17.7,29.1,34.7,37.4,56.6,76.1,70.2,47.1,60.2,28.1,33.1
319,Binghamton,AE,97.9,116.8,45.7,52.6,22.0,12.9,28.6,33.2,49.1,31.1,76.3,72.5,49.4,55.4,25.4,31.8
320,Maryland Eastern Shore,MEAC,95.3,111.3,45.6,48.7,25.7,17.1,30.9,36.9,21.5,35.8,61.2,76.2,47.3,50.9,28.3,30.5
321,Western Carolina,SC,100.3,111.3,45.6,56.2,21.2,16.3,28.7,25.9,29.7,38.8,69.8,69.1,48.4,56.3,27.6,37.4
322,Chicago St.,NEC,101.8,116.4,45.5,60.5,19.7,18.3,29.8,36.1,31.7,44.8,75.2,76.7,45.8,65.6,29.8,37.3
323,Saint Joseph's,A10,105.0,104.7,45.5,49.4,17.3,15.7,35.1,36.4,32.0,33.9,79.3,66.4,50.0,48.6,26.2,34.0
324,New Haven,NEC,95.3,110.8,45.5,52.4,21.4,18.1,21.7,29.4,29.6,31.4,70.5,75.8,49.3,50.7,26.1,36.6
325,Morehead St.,OVC,101.0,113.5,45.4,53.4,20.6,16.3,34.4,40.9,32.7,36.9,70.9,70.3,45.3,55.9,30.5,33.5
326,Alabama A&M,SWAC,101.2,109.8,45.4,49.9,18.0,19.2,23.2,34.7,36.5,42.1,70.5,72.5,43.0,54.1,33.3,28.8
327,Valparaiso,MVC,101.4,106.3,45.3,46.3,16.1,19.5,33.6,30.6,34.9,37.5,69.6,76.0,45.5,45.6,30.0,31.5
328,North Dakota,Sum,96.2,111.8,45.3,58.0,15.8,21.4,21.7,32.3,35.8,45.1,61.8,68.4,47.3,63.0,28.0,34.4
329,Detroit Mercy,Horz,103.6,112.7,45.3,53.8,16.2,15.7,33.2,33.6,28.7,38.9,78.2,72.5,48.3,54.4,26.5,35.3
330,Norfolk St.,MEAC,98.9,106.1,45.2,48.3,18.7,16.8,31.0,32.9,33.2,48.6,55.3,67.6,44.4,56.9,31.6,25.7
331,Ball St.,MAC,100.5,110.4,45.2,53.9,18.8,19.9,28.5,33.6,29.2,25.4,67.7,77.2,44.1,54.7,31.1,35.2
332,Merrimack,MAAC,100.8,110.4,45.1,52.4,16.1,20.6,25.2,43.7,32.5,42.7,75.5,71.3,45.4,54.0,29.9,32.8
333,East Carolina,Amer,102.7,109.3,45.0,55.1,19.9,16.5,33.3,27.9,43.7,35.5,68.5,75.0,46.1,54.1,28.4,37.6
334,Albany,AE,100.0,113.4,44.8,53.4,22.0,17.1,33.9,38.3,23.9,43.0,65.9,73.5,49.3,57.1,25.4,31.2
335,Cal St. Bakersfield,BW,102.5,111.1,44.8,51.9,21.8,18.7,33.6,38.2,49.3,40.3,73.2,67.9,47.2,55.4,25.8,30.2
336,Saint Francis,NEC,96.9,114.0,44.7,60.3,21.9,18.8,26.6,34.8,21.7,34.4,74.2,67.8,44.3,64.9,30.3,36.6
337,Lindenwood,OVC,101.4,107.9,44.7,51.9,19.3,19.3,32.3,32.2,41.5,41.3,67.6,68.2,47.1,49.8,26.1,36.5
338,UC Irvine,BW,101.4,95.9,44.6,41.2,18.1,18.2,25.6,33.8,45.9,31.4,66.3,64.8,44.5,40.6,30.0,28.3
339,UMKC,Sum,95.9,112.0,44.4,55.9,20.7,17.8,27.7,38.8,31.1,33.5,66.9,69.6,48.5,57.1,23.6,35.9
340,Eastern Illinois,OVC,98.7,110.8,44.3,56.4,21.5,17.3,22.7,41.4,36.2,34.5,77.7,68.5,46.2,62.8,27.3,32.5
341,Southern Indiana,OVC,99.7,112.8,44.3,48.7,16.0,16.0,26.1,33.0,38.5,40.3,64.5,73.5,46.6,49.4,27.4,31.3
342,Louisiana,SB,98.6,109.1,44.2,51.9,21.3,16.0,27.6,31.8,29.2,51.6,67.7,70.5,45.2,53.7,28.6,32.7
343,Mississippi Valley St.,SWAC,91.1,118.7,44.2,55.0,22.9,14.0,26.3,37.9,29.2,55.7,78.3,72.8,45.3,57.2,27.7,35.1
344,Jacksonville St.,CUSA,101.3,105.2,44.2,47.3,17.6,15.2,28.4,25.3,34.6,37.3,58.6,74.0,43.6,48.8,30.0,30.1
345,Southeastern Louisiana,Slnd,100.2,106.8,43.9,53.2,18.8,21.3,25.4,27.7,38.6,50.4,70.3,73.0,49.1,55.1,24.9,33.3
346,Radford,BSth,104.5,111.0,43.8,54.2,16.6,18.1,28.2,37.1,41.0,51.2,69.8,69.8,46.0,54.2,27.6,36.2
