team,conf,adjEM,WAB,Power_Score,Power_Rank
Michigan,B10,34.11751918403044,3.3074596944512145,103.5908557769877,1
Duke,ACC,29.578132385178108,3.570588198114517,101.01016477081686,2
Gonzaga,WCC,28.6247885935708,2.8047012308679227,96.67815176340149,4
Houston,B12,27.80408245194029,1.7434198139877202,91.09363149824316,12
Iowa St.,B12,27.994395961512637,2.976412648853474,96.94364803079719,3
Connecticut,BE,27.629669474059625,2.245915882077239,93.26709427093583,7
Vanderbilt,SEC,28.62406047856696,2.456580458819457,95.07078425745587,6
Arizona,B12,26.857460771645734,2.8767781425606507,95.53324523785811,5
Michigan St.,B10,25.98263767800168,2.3912546953395384,92.56090340272962,9
Alabama,SEC,27.28784317693102,2.0490949583089457,92.07287838080562,10
Purdue,B10,26.818125137792606,2.3206860075479248,92.93370360433927,8
Illinois,B10,26.247550224678903,1.056189069642134,86.62036068254464,14
Louisville,ACC,26.421532093226375,1.5653469632993189,89.11584767088681,13
St. John's,BE,25.11760820682636,0.127327102937457,81.38848772154103,24
BYU,B12,25.30461706700585,2.220859645867037,91.20758056036453,11
Florida,SEC,24.157032523563046,0.3996207263741274,81.84217287854594,22
Kansas,B12,23.569054487651343,1.4462059075870073,86.18112828042922,15
Tennessee,SEC,23.528900090275485,0.3616443244808491,81.14174023710572,26
Arkansas,SEC,22.459438457201216,0.757055981242197,82.0726448907608,21
North Carolina,ACC,21.596996815769188,1.7935560871430258,86.13558640224704,16
Virginia,ACC,22.360420967717403,1.164956100983741,83.87253266385824,17
UCLA,B10,21.09727595406669,0.2354909968365188,78.52651119750564,31
Iowa,B10,21.119481519632203,1.2070259498251696,83.02921627875087,19
Indiana,B10,20.641612246227567,0.0356875539378717,77.22335536355675,35
Kentucky,SEC,20.490097904456903,-0.8379294525090143,73.06448368984351,48
Georgia,SEC,20.528462790043562,0.6514336870539492,79.97074572621962,30
Ohio St.,B10,19.71600137759856,0.4685236540938229,78.44726013128357,32
Saint Mary's,WCC,18.590345989984996,1.330648427200127,81.48530807912785,23
Wisconsin,B10,19.053191250188206,0.2905154771324215,77.07151550291141,36
Texas Tech,B12,18.45777635886435,1.0463186136697984,80.0621426441218,29
USC,B10,18.702183142225564,1.7468414294412495,83.49975739896067,18
Miami FL,ACC,18.131215833624225,0.6553367004792993,77.98453560180859,33
Auburn,SEC,18.70574217016822,1.2795586182176313,81.34597926570912,25
Clemson,ACC,17.753931137256785,0.5765159529578205,77.30530692608485,34
Nebraska,B10,17.497067746753856,1.7389147602532669,82.45563182325988,20
Missouri,SEC,16.757100376514998,-0.1319550022312854,73.20194133906216,47
Villanova,BE,16.37090613520111,0.3654277480578319,75.17474320843499,41
N.C. State,ACC,16.646772413755315,-0.2129249413909147,72.73598289684236,51
LSU,SEC,16.03594807877151,0.6358908153232173,76.14302864211602,38
Saint Louis,A10,15.641601718991964,0.5456604282992055,75.39687408653805,40
SMU,ACC,15.664502014585864,1.6591258256341228,80.55524295711066,27
Texas A&M,SEC,15.751905866222842,-0.6418336875440165,70.00819002635455,63
Oklahoma St.,B12,15.455638184060987,1.6753219365295084,80.4553752986304,28
Boise St.,MWC,14.754773455734863,-0.7110356113204551,68.85513193771695,68
Texas,SEC,15.40185772383171,-0.6597911836109724,69.63264816294856,65
Santa Clara,WCC,15.211831939898516,0.4130925156972856,74.4256939469393,44
Baylor,B12,15.62431599381037,0.7617294103558788,76.37969325343967,37
