team,games,wins,losses,super_elo,mov_elo,off_efg_elo,off_tov_elo,off_orb_elo,off_ftr_elo,def_efg_elo,def_tov_elo,def_orb_elo,def_ftr_elo,rank
Michigan,8,8,0,2142.258201307625,2142.258201307626,1782.842885368889,1548.6172287367424,1649.7112907598216,1525.018078214119,1859.091897465696,1522.9791068235513,1680.595813761591,1667.0292256841146,1
Gonzaga,10,9,1,2037.3819410734905,2037.3819410734918,1693.8741663522526,1625.996061024415,1675.7424016812067,1433.8140435033135,1750.8879575780811,1695.7642447075505,1670.1300561529863,1460.3695148946367,2
Iowa St.,9,9,0,2008.810358624255,2008.8103586242564,1836.590193533493,1636.878663930986,1629.6178720106823,1469.5761358508796,1558.9434039687171,1870.6707471693253,1505.8917720294753,1599.6570198028328,3
Duke,10,10,0,1985.7376175051186,1985.7376175051197,1738.5093743874297,1551.5546211384187,1707.4906840638525,1580.5085043409886,1764.008353312167,1558.4149040868767,1559.7957348612358,1706.277875482621,4
Arizona,8,8,0,1943.1745205032091,1943.1745205032105,1732.6499120698522,1464.6714139805692,1747.0088236024985,1537.5902793543048,1687.7197183817145,1586.811602238547,1650.2251711935767,1566.2606940701364,5
Vanderbilt,9,9,0,1929.8561329142008,1929.856132914202,1779.4273645095705,1726.1393350614935,1548.5361943404298,1432.6539543962542,1606.0604072944618,1597.2838533787171,1670.6103495916764,1315.8081268319415,6
Alabama,9,7,2,1903.2757837449622,1903.2757837449633,1728.183744098101,1748.0092975661532,1572.7086046710178,1481.336594132203,1587.6580298875633,1403.0128241906743,1574.5392587522654,1606.3110991098401,7
BYU,8,7,1,1900.0226182464733,1900.0226182464746,1641.7669616558726,1755.3999099565249,1594.7036686472475,1439.59555199919,1657.5318065503568,1458.6578047676576,1617.2747417455196,1590.1416043988422,8
Georgia,9,8,1,1898.0692037173178,1898.0692037173192,1579.0532234468865,1671.1677050878207,1660.5222934862036,1530.1229260818939,1657.76414111758,1665.3014751167384,1363.7530050852893,1577.0339206288875,9
Connecticut,9,8,1,1894.7745348468245,1894.7745348468259,1666.1880699541432,1555.4443937722021,1603.247581429768,1502.9048744893373,1774.272119824824,1558.156104890425,1663.0079388936567,1368.3643591282262,10
Louisville,9,8,1,1894.3979199794753,1894.3979199794767,1651.1372220379162,1639.7613384529973,1569.3966913278302,1606.205294829088,1646.9928920715945,1534.2949041248426,1571.5334736425036,1539.6728123304706,11
Illinois,9,7,2,1881.9550951711558,1881.9550951711572,1647.841511129207,1641.6659324596076,1706.4689677325255,1394.5085005040326,1669.2496583347802,1273.9129805427424,1647.0070140237578,1661.1025326664987,12
Purdue,9,8,1,1879.3940134756717,1879.394013475673,1661.3479074758789,1654.0520038355107,1734.7426295203259,1402.7419196381677,1605.042690647672,1441.5055331597282,1597.7236626434126,1776.3802998205695,13
St. John's,8,5,3,1863.8283167978684,1863.8283167978698,1536.5735903636735,1539.8819275217174,1659.8906173354078,1744.3261726214962,1708.1474684504194,1737.5809140469094,1385.6442193901873,1538.6326035665452,14
Florida,8,5,3,1840.6329828716594,1840.6329828716605,1482.430673173533,1530.480457203104,1734.2767678780283,1598.9847045743063,1791.7777460394454,1402.9515410581687,1689.6175375260602,1393.6687124084453,15
Michigan St.,9,8,1,1830.5385289419128,1830.5385289419141,1506.6028278390181,1503.564061848298,1768.6260687138151,1527.320795938564,1680.9600628076666,1562.5894350303886,1730.6974262631352,1539.5037083678321,16
Kentucky,9,5,4,1827.374681314328,1827.3746813143293,1583.547245910617,1661.1359528171265,1586.4881136243682,1393.3016484054347,1668.4938172726822,1392.8713623679764,1641.4556446317931,1677.8002461173478,17
Kansas,10,7,3,1817.5421787842515,1817.5421787842529,1612.475645498555,1537.0241119368138,1545.5604478944745,1519.3562854905174,1764.5943791728641,1301.8724314872084,1620.1395958588332,1643.3634077247755,18
Texas Tech,9,7,2,1816.374148357595,1816.3741483575964,1589.7708126989914,1544.8623921149572,1666.0750055654948,1407.2702992343243,1618.118045275603,1543.1084445728757,1666.3873927473007,1563.7398655805644,19
Miami FL,10,8,2,1813.8399986977813,1813.8399986977827,1616.2119877384894,1477.523490911128,1711.3136234823937,1484.8974217410873,1575.0298436085686,1738.048038160007,1581.4246102693835,1492.784216961922,20
Arkansas,9,7,2,1796.0144477102547,1796.014447710256,1582.2540383043,1714.5567782652633,1507.4165820741566,1548.928247671861,1633.9614879853166,1457.0689332062518,1506.5992007293867,1644.4837079441868,21
Indiana,9,7,2,1795.2682015886471,1795.2682015886485,1608.4642024889627,1669.0700218660693,1449.6069102222643,1471.7288470956096,1617.576205484951,1639.2249740387247,1624.1549828666707,1504.1449753872691,22
Virginia,9,8,1,1794.1659516427865,1794.1659516427878,1699.4191674233336,1519.4375635593537,1762.2832193936142,1592.9984656021556,1666.3645559471054,1374.3531267599037,1546.3221840410527,1519.697520061133,23
