id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,dominance,is_excluded,home_excluded,away_excluded,home_elo,away_elo,game_rating_home,game_rating_away,home_waa,away_waa,game_rating_home_scaled,game_rating_away_scaled
401767549,2025,1,regular,2025-08-28 22:00:00+00:00,False,True,False,False,,844.0,Stambaugh Stadium,2754,Youngstown State,fcs,MVFC,24.0,"[7, 14, 3, 0]",0.9298242926597596,,,2385,Mercyhurst,fcs,NEC,15.0,"[7, 0, 0, 8]",0.0701757073402404,,,3.882484790405917,,,0.9293519432651267,False,False,False,1524.1946413925011,872.850677786181,1366.7471714487115,1030.2981477299707,0.01671991008921181,-0.35356446842239825,22.65868057524635,8.362017808246708
401752794,2025,1,regular,2025-08-28 22:00:00+00:00,False,True,False,False,,6577.0,SHI Stadium,164,Rutgers,fbs,Big Ten,34.0,"[7, 24, 0, 3]",0.9000661373138428,1522.0,1524.0,195,Ohio,fbs,Mid-American,31.0,"[7, 10, 14, 0]",0.0999338626861572,1621.0,1619.0,6.943864856309906,,,0.8842047922316035,False,False,False,1881.2164932408955,1759.8136854403208,2163.760691673827,1477.2694870073894,0.7372018940232707,-0.06546150137736989,56.52602069546385,27.35508378160917
401761588,2025,1,regular,2025-08-28 23:00:00+00:00,False,True,False,False,,3817.0,Malone Stadium,2433,UL Monroe,fbs,Sun Belt,29.0,"[7, 3, 7, 12]",0.99480402469635,1281.0,1281.0,2598,St. Francis (PA),fcs,NEC,0.0,"[0, 0, 0, 0]",0.0051959753036499,,,3.5420324150475078,,,0.9805037812489121,False,False,False,1217.524560438226,254.93769823820958,977.0398121213487,495.4224465550865,0.0004848011551196185,-0.7616827313728258,6.098921737072871,1.0
401767327,2025,1,regular,2025-08-28 23:00:00+00:00,False,True,False,False,,3991.0,"William Dick"""" Price Stadium""""",2450,Norfolk State,fcs,MEAC,7.0,"[0, 0, 0, 7]",0.045191440731287,,,119,Towson,fcs,CAA,27.0,"[10, 3, 0, 14]",0.954808559268713,,,4.766962778982658,,,0.9566154722803073,False,False,False,357.9680898386714,1045.5256961931098,303.2294516010852,1100.264334430696,-0.9560726375641265,0.002215781119795479,1.0,11.335077338326979
401767171,2025,1,regular,2025-08-28 23:00:00+00:00,False,True,False,False,,3858.0,O'Brien Stadium,2197,Eastern Illinois,fcs,Big South-OVC,24.0,"[0, 3, 7, 14]",0.8887839317321777,,,2168,Dayton,fcs,Pioneer,14.0,"[7, 0, 0, 7]",0.1112160682678222,,,7.113508880152246,,,0.9022705457247232,False,False,False,904.1045754904648,947.0349840611063,1382.1057071227378,469.0338524288336,0.025400578468803392,-0.9510197521997156,23.31130783717012,1.0
401767209,2025,1,regular,2025-08-28 23:00:00+00:00,False,True,False,False,,5116.0,O'Shaughnessy Stadium,2900,St. Thomas (MN),fcs,Pioneer,35.0,"[0, 7, 14, 14]",0.967767298221588,,,2815,Lindenwood,fcs,Big South-OVC,13.0,"[0, 7, 6, 0]",0.0322327017784118,,,6.43543178258389,,,0.950701796046122,False,False,False,1182.2235281554536,1100.634079740008,1658.94999352791,623.9076143675512,0.059352896729415794,-0.7965932187313723,35.07519812271338,1.0
401754373,2025,1,regular,2025-08-28 23:00:00+00:00,False,True,False,False,,3670.0,Carter-Finley Stadium,152,NC State,fbs,ACC,24.0,"[3, 14, 7, 0]",0.7480055689811707,1501.0,1507.0,151,East Carolina,fbs,American Athletic,17.0,"[0, 7, 0, 10]",0.2519944310188293,1435.0,1429.0,4.6509769467251365,,,0.9171741177735987,False,False,False,2131.695417076403,2104.1421018977085,2569.3122957619876,1666.5252232121238,0.9531842890707123,-0.01629507268208844,73.75904593708599,35.39709088073282
401756848,2025,1,regular,2025-08-28 23:00:00+00:00,False,True,False,False,,3652.0,FBC Mortgage Stadium,2116,UCF,fbs,Big 12,17.0,"[0, 0, 3, 14]",0.9146236181259156,1538.0,1554.0,55,Jacksonville State,fbs,Conference USA,10.0,"[0, 0, 3, 7]",0.0853763818740844,1650.0,1634.0,7.405744591220826,,,0.8877726809632487,False,False,False,1767.9549169399313,1644.792257064427,2054.5046996328933,1358.2424743714653,0.591304117318009,-0.11851122609541458,51.88342712744388,22.297292140514195
401757219,2025,1,regular,2025-08-28 23:00:00+00:00,False,True,False,False,,3695.0,Delaware Stadium,48,Delaware,fbs,Conference USA,35.0,"[0, 14, 7, 14]",0.948571503162384,1500.0,1500.0,2169,Delaware State,fcs,MEAC,17.0,"[0, 3, 7, 7]",0.0514284968376159,,,4.477316433427869,,,0.9531274884056409,False,False,False,1490.880661688069,1012.1413350675094,1579.43828108053,923.5837156750484,0.036527719556762706,-0.3985196760426667,31.696522428183435,3.8274222531812394
401762789,2025,1,regular,2025-08-28 23:00:00+00:00,False,True,False,False,,3768.0,InfoCision Stadium,2006,Akron,fbs,Mid-American,0.0,"[0, 0, 0, 0]",0.102565087378025,1245.0,1235.0,2751,Wyoming,fbs,Mountain West,10.0,"[0, 3, 0, 7]",0.897434912621975,1367.0,1377.0,4.853832638856986,,,0.9250633856071214,False,False,False,1305.8654721972607,1447.6458124467415,803.1174252181976,1950.393859425805,-0.6825481697011051,0.34222464428816113,1.0,47.45946549314291
401752674,2025,1,regular,2025-08-28 23:30:00+00:00,False,True,False,False,,3838.0,Memorial Stadium,142,Missouri,fbs,SEC,61.0,"[9, 17, 14, 21]",0.9923890829086304,1640.0,1640.0,2110,Central Arkansas,fcs,UAC,6.0,"[0, 0, 0, 6]",0.0076109170913696,,,3.2619476923306743,,,0.9984528779146981,True,True,False,2287.9743862208447,1039.0529844022458,2158.2511788376337,1168.7761917854566,0.04238885173963436,-0.00669233724487197,56.291906040712,14.246338335061555
401767298,2025,1,regular,2025-08-28 23:30:00+00:00,False,True,False,False,,3925.0,Seibert Stadium,2535,Samford,fcs,Southern,3.0,"[0, 0, 0, 3]",0.1454416960477829,,,2698,West Georgia,fcs,UAC,34.0,"[10, 0, 7, 17]",0.8545583039522171,,,3.412002605674839,,,0.9837039183831127,False,False,False,804.2233142138155,1511.2407012694116,596.4552363848803,1719.0087790983468,-0.5985495994653739,0.028165697573551474,1.0,37.627264388222514
401756876,2025,1,regular,2025-08-28 23:30:00+00:00,False,True,False,False,,3646.0,Boone Pickens Stadium,197,Oklahoma State,fbs,Big 12,27.0,"[14, 3, 3, 7]",0.8100014328956604,1334.0,1334.0,2630,UT Martin,fcs,Big South-OVC,7.0,"[7, 0, 0, 0]",0.1899985671043396,,,3.472374103395647,,,0.9638591812373338,False,False,False,1430.734924911905,1118.4359276216753,1731.8528692633595,817.3179832702207,0.06533920460786002,-0.4836532632025647,38.173045807376305,1.0
401754517,2025,1,regular,2025-08-28 23:30:00+00:00,False,True,False,False,,3982.0,Wallace Wade Stadium,150,Duke,fbs,ACC,45.0,"[3, 7, 14, 21]",0.9597823023796082,1526.0,1526.0,2210,Elon,fcs,CAA,17.0,"[0, 10, 0, 7]",0.0402176976203918,,,5.767314867159874,,,0.9699911773656157,False,False,False,2118.4471277238727,1068.2123278193008,1714.4704567701572,1472.188998773017,0.04975061074343301,-0.017563722604391464,37.43441834237304,27.13919958561503
401756852,2025,1,regular,2025-08-29 00:00:00+00:00,False,True,False,False,,4728.0,TDECU Stadium,248,Houston,fbs,Big 12,27.0,"[7, 10, 7, 3]",1.0,1375.0,1375.0,2617,Stephen F. Austin,fcs,Southland,0.0,"[0, 0, 0, 0]",0.0,,,3.3544950535553952,,,0.9779875942137684,False,False,False,2193.633045102324,1703.8155485841505,2404.6099690181054,1492.8386246683694,0.6702076835628741,-0.011464096485616374,66.76038207897385,28.01666011270324
401767369,2025,1,regular,2025-08-29 00:00:00+00:00,False,True,False,False,,3963.0,Harry Turpin Stadium,2466,Northwestern State,fcs,Southland,20.0,"[13, 0, 0, 7]",0.753602147102356,,,2016,Alcorn State,fcs,SWAC,10.0,"[0, 0, 10, 0]",0.246397852897644,,,4.406877479072377,,,0.92867229183364,False,False,False,530.1719922920066,785.9498254527571,1278.1218931367298,37.99992460803435,0.010205856120578338,-0.9940514809120167,18.89274390331505,1.0
401752793,2025,1,regular,2025-08-29 00:00:00+00:00,False,True,False,False,,3953.0,Huntington Bank Stadium,135,Minnesota,fbs,Big Ten,23.0,"[0, 10, 3, 10]",0.9927180409431458,1616.0,1625.0,2084,Buffalo,fbs,Mid-American,10.0,"[0, 3, 7, 0]",0.0072819590568542,1416.0,1407.0,4.44321876439467,,,0.9383618429145167,False,False,False,1967.5244612530157,1321.537433426838,1839.943515262474,1449.1183794173803,0.18370491052930915,-0.04087827608779298,42.76612055325021,26.158864255443056
401762430,2025,1,regular,2025-08-29 00:30:00+00:00,False,True,False,False,,7221.0,Protective Stadium,5,UAB,fbs,American Athletic,52.0,"[10, 7, 21, 14]",0.622718095779419,1319.0,1319.0,2011,Alabama State,fcs,SWAC,42.0,"[7, 14, 7, 14]",0.377281904220581,,,7.242758388206213,,,0.9007071949367164,False,False,False,1572.7388327696137,1457.1357805511418,1889.3067552271602,1140.567858093595,0.3294047829290482,-0.2925874415409657,44.863703084657885,13.04768711130687
